focus_rank,h3_cell,incident_count,latitude,longitude,mean_spike_z,neighborhood,police_precinct,nearest_intersection,dominant_offense,dominant_offense_count,dominant_offense_share,score
1,892ab2c58d3ffff,1047,42.3337042515313,-83.0489995905088,0.4010899577992446,Downtown,03,State St & Gratiot Ave,FRAUD,416,0.3973256924546323,0.7812005813004891
2,892ab2c5e37ffff,959,42.3323027840917,-83.057812497388,0.4302871152689594,Downtown,03,Bagley St & 3rd St,LARCENY,331,0.34515119916579773,0.7204345638631021
3,892ab2c5c67ffff,907,42.3340146833249,-83.041974135338,0.7734444518874528,Greektown,03,Beaubien St & E Lafayette St,LARCENY,273,0.30099228224917307,0.7098793127231746
4,892ab2c5ea7ffff,867,42.3369889568907,-83.0508947913856,0.4101043803542943,Downtown,03,Woodward Ave & E Adams Ave,ASSAULT,204,0.23529411764705882,0.6529619805093922
5,892ab2c58c3ffff,651,42.33168460389816,-83.0526477734486,0.5677528589185487,Downtown,03,Michigan Ave & Cass Ave,ASSAULT,164,0.2519201228878648,0.5104975807891996
6,892ab2c5e03ffff,604,42.3394921948913,-83.0664991055863,0.6747964242816634,Midtown,03,Grand River Ave & S M 10,LARCENY,232,0.3841059602649007,0.48515682284676254
7,892ab2cf617ffff,576,42.41476070546079,-83.2532071415374,0.5644508637421259,Holcomb Community,08,Grand River Ave & W McNichols Rd,FRAUD,180,0.3125,0.4565157919178237
8,892ab2c5c6fffff,542,42.33397183340585,-83.045092056016,0.6918462340760518,Downtown,03,Gratiot Ave & Library St,LARCENY,123,0.22693726937269373,0.4420705113220557
9,892ab2c5ca7ffff,569,42.338992330577895,-83.02326650909899,0.3466570806239748,Elmwood Park,07,E Larned St & Chene St,ASSAULT,108,0.18980667838312829,0.43455939902107094
10,892ab2c539bffff,536,42.36679265109,-83.0825902706376,0.6125187128478434,Virginia Park Community,10,W Grand Blvd & Lincoln St,LARCENY,142,0.26492537313432835,0.4316016700212221
11,892ab2c58d7ffff,502,42.331649833634,-83.0468465551171,0.5053094386715475,Downtown,03,W Lafayette Blvd & Griswold St,LARCENY,105,0.20916334661354583,0.39890661492430024
12,892ab2c589bffff,492,42.33171030188123,-83.0420084078324,0.5292220741749639,Downtown,03,E Congress St & Brush St,ASSAULT,103,0.20934959349593496,0.3936034427455286
13,892ab2c5c37ffff,474,42.336454218575,-83.0283629956631,0.6324450745473141,Lafayette Park,07,Saint Aubin St & E Larned St,ASSAULT,127,0.2679324894514768,0.38873912398810734
14,892ab2c517bffff,483,42.355810206951,-83.0636943175046,0.5445509129963608,Midtown,03,W Hancock St & Woodward Ave,ASSAULT,123,0.2546583850931677,0.3883488738207867
15,892ab2c512fffff,457,42.3496672748685,-83.0523699915006,0.6451891888140578,Medical Center,03,Beaubien St & Mack Ave,ASSAULT,168,0.3676148796498906,0.3775528316453166
