h3_cell,previous_14d,current_14d,hotspot_status,change_14d,pct_change_14d,hotspot_score,precinct_norm,selection_type,selection_name,previous_hotspot_threshold,current_hotspot_threshold,previous_14d_start,previous_14d_end,current_14d_start,current_14d_end,latitude,longitude,neighborhood,nearest_intersection,neighborhood_scope
882ab2ce67fffff,8.0,19.0,Emerging Hotspot,11.0,137.5,35.5,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.399836755734746,-83.18123826092473,Bethune Community,Fenkell St & Lesure St,ALL
882ab2ce25fffff,5.0,12.0,Emerging Hotspot,7.0,140.0,22.5,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.38705404985419,-83.19819270407079,Schoolcraft Southfield,Greenfield Rd & Schoolcraft St,ALL
882ab2ce61fffff,1.0,9.0,Emerging Hotspot,8.0,800.0,21.0,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.40395301457275,-83.17704532578134,Bethune Community,Keeler Ave & Snowden St,ALL
882ab2ce21fffff,3.0,10.0,Emerging Hotspot,7.0,233.33,20.5,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.38410066371895,-83.1873008203068,Schoolcraft Southfield,Freeland St & Tyler St,ALL
882ab2ce2bfffff,5.0,11.0,Emerging Hotspot,6.0,120.0,20.0,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.382114809247966,-83.17420340824691,Grand River-I96,Grand River Ave & Steel St,ALL
882ab2ce3dfffff,5.0,10.0,Emerging Hotspot,5.0,100.0,17.5,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.377400956464726,-83.1744212051598,Pride Area Community,Capitol St & Littlefield St,ALL
882ab2ce6dfffff,8.0,9.0,Emerging Hotspot,1.0,12.5,10.5,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.41438321576158,-83.1797983731317,Harmony Village,Florence St & Schaefer Hwy,ALL
882ab2ceedfffff,8.0,9.0,Emerging Hotspot,1.0,12.5,10.5,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.35669125918619,-83.1519150298148,Barton-McFarland,Mackenzie St & Northlawn St,ALL
882ab2cc43fffff,12.0,15.0,Persistent Hotspot,3.0,25.0,24.75,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.3581573892756,-83.19484590514558,We Care Community,Prest St & Joy Rd,ALL
882ab2cc49fffff,11.0,12.0,Persistent Hotspot,1.0,9.09,17.7,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.37036084151232,-83.18774033766033,Plymouth-Hubbell,Plymouth Rd & Hubbell St,ALL
882ab2ce65fffff,12.0,10.0,Persistent Hotspot,-2.0,-16.67,13.5,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.40724645107675,-83.18849623086835,Bethune Community,Puritan St & Lauder St,ALL
882ab2ce2dfffff,11.0,9.0,Persistent Hotspot,-2.0,-18.18,12.15,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.394350401322384,-83.19464517251573,Hubbell-Lyndon,Whitcomb St & Lyndon St,ALL
882ab2ce35fffff,9.0,7.0,Declining Hotspot,-2.0,-22.22,7.0,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.37073018157518,-83.17724394515463,Barton-McFarland,Plymouth Rd & Schaefer Hwy,ALL
882ab2cf5bfffff,11.0,7.0,Declining Hotspot,-4.0,-36.36,7.0,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.39947303552569,-83.19627337183282,Hubbell-Lyndon,Greenfield Rd & Chalfonte St,ALL
882ab2ce07fffff,11.0,6.0,Declining Hotspot,-5.0,-45.45,6.0,02,All,All,9.0,9.0,2026-08-22,2026-09-04,2026-09-05,2026-09-18,42.38069478997817,-83.16430575390635,Grand River-I96,Grand River Ave & Meyers Rd,ALL
