precinct_norm,offense_category,previous_14d,current_14d,change_14d,pct_change_14d,recent_movement,city_previous_14d,city_current_14d,city_change_14d,city_pct_change_14d,previous_14d_start,previous_14d_end,current_14d_start,current_14d_end,neighborhood_scope
00,DAMAGE TO PROPERTY,0,1,1,,Increasing,404,364,-40,-9.9,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,ASSAULT,70,52,-18,-25.71,Decreasing,720,612,-108,-15.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,DAMAGE TO PROPERTY,34,34,0,0.0,No Change,404,364,-40,-9.9,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,LARCENY,44,32,-12,-27.27,Decreasing,528,398,-130,-24.62,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,AGGRAVATED ASSAULT,33,22,-11,-33.33,Decreasing,294,267,-27,-9.18,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,FRAUD,29,21,-8,-27.59,Decreasing,262,194,-68,-25.95,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,STOLEN VEHICLE,11,20,9,81.82,Increasing,240,200,-40,-16.67,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,BURGLARY,20,11,-9,-45.0,Decreasing,247,158,-89,-36.03,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,WEAPONS OFFENSES,24,11,-13,-54.17,Decreasing,129,105,-24,-18.6,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,OBSTRUCTING THE POLICE,6,8,2,33.33,Increasing,72,61,-11,-15.28,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,RUNAWAY,4,6,2,50.0,Increasing,41,37,-4,-9.76,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,INVASION OF PRIVACY -OTHER,1,4,3,300.0,Increasing,17,22,5,29.41,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,STOLEN PROPERTY,8,4,-4,-50.0,Decreasing,55,45,-10,-18.18,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,FAMILY OFFENSE,5,3,-2,-40.0,Decreasing,36,28,-8,-22.22,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,SEXUAL ASSAULT,0,3,3,,Increasing,18,16,-2,-11.11,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,ARSON,0,1,1,,Increasing,25,18,-7,-28.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,DANGEROUS DRUGS,3,0,-3,-100.0,Decreasing,39,37,-2,-5.13,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,DISORDERLY CONDUCT,1,0,-1,-100.0,Decreasing,12,5,-7,-58.33,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,HOMICIDE,1,0,-1,-100.0,Decreasing,6,3,-3,-50.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,MISCELLANEOUS,1,0,-1,-100.0,Decreasing,3,0,-3,-100.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,OBSTRUCTING JUDICIARY,5,0,-5,-100.0,Decreasing,46,31,-15,-32.61,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,OUIL,2,0,-2,-100.0,Decreasing,30,26,-4,-13.33,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,ROBBERY,1,0,-1,-100.0,Decreasing,46,45,-1,-2.17,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
02,SEX OFFENSES,2,0,-2,-100.0,Decreasing,36,23,-13,-36.11,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,LARCENY,110,83,-27,-24.55,Decreasing,528,398,-130,-24.62,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,ASSAULT,90,77,-13,-14.44,Decreasing,720,612,-108,-15.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,DAMAGE TO PROPERTY,48,56,8,16.67,Increasing,404,364,-40,-9.9,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,FRAUD,40,35,-5,-12.5,Decreasing,262,194,-68,-25.95,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,STOLEN VEHICLE,17,28,11,64.71,Increasing,240,200,-40,-16.67,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,AGGRAVATED ASSAULT,29,17,-12,-41.38,Decreasing,294,267,-27,-9.18,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,BURGLARY,19,14,-5,-26.32,Decreasing,247,158,-89,-36.03,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,OUIL,2,12,10,500.0,Increasing,30,26,-4,-13.33,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,INVASION OF PRIVACY -OTHER,8,10,2,25.0,Increasing,17,22,5,29.41,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,OBSTRUCTING JUDICIARY,2,6,4,200.0,Increasing,46,31,-15,-32.61,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,OBSTRUCTING THE POLICE,11,5,-6,-54.55,Decreasing,72,61,-11,-15.28,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,WEAPONS OFFENSES,7,5,-2,-28.57,Decreasing,129,105,-24,-18.6,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,DISORDERLY CONDUCT,5,3,-2,-40.0,Decreasing,12,5,-7,-58.33,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,FAMILY OFFENSE,1,3,2,200.0,Increasing,36,28,-8,-22.22,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,ROBBERY,4,3,-1,-25.0,Decreasing,46,45,-1,-2.17,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,DANGEROUS DRUGS,5,2,-3,-60.0,Decreasing,39,37,-2,-5.13,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,SEX OFFENSES,3,2,-1,-33.33,Decreasing,36,23,-13,-36.11,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,EXTORTION,3,1,-2,-66.67,Decreasing,6,3,-3,-50.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,HOMICIDE,1,1,0,0.0,No Change,6,3,-3,-50.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,LIQUOR,4,1,-3,-75.0,Decreasing,5,1,-4,-80.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,SEXUAL ASSAULT,2,1,-1,-50.0,Decreasing,18,16,-2,-11.11,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,STOLEN PROPERTY,1,1,0,0.0,No Change,55,45,-10,-18.18,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,ARSON,2,0,-2,-100.0,Decreasing,25,18,-7,-28.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,HEALTH AND SAFETY,2,0,-2,-100.0,Decreasing,10,6,-4,-40.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,KIDNAPPING,1,0,-1,-100.0,Decreasing,5,7,2,40.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,MISCELLANEOUS,1,0,-1,-100.0,Decreasing,3,0,-3,-100.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
03,RUNAWAY,1,0,-1,-100.0,Decreasing,41,37,-4,-9.76,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,LARCENY,29,34,5,17.24,Increasing,528,398,-130,-24.62,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,ASSAULT,36,29,-7,-19.44,Decreasing,720,612,-108,-15.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,DAMAGE TO PROPERTY,19,18,-1,-5.26,Decreasing,404,364,-40,-9.9,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,AGGRAVATED ASSAULT,7,11,4,57.14,Increasing,294,267,-27,-9.18,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,FRAUD,21,7,-14,-66.67,Decreasing,262,194,-68,-25.95,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,DANGEROUS DRUGS,6,6,0,0.0,No Change,39,37,-2,-5.13,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,OBSTRUCTING JUDICIARY,4,6,2,50.0,Increasing,46,31,-15,-32.61,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,STOLEN VEHICLE,21,6,-15,-71.43,Decreasing,240,200,-40,-16.67,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,BURGLARY,11,4,-7,-63.64,Decreasing,247,158,-89,-36.03,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,FAMILY OFFENSE,0,3,3,,Increasing,36,28,-8,-22.22,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,WEAPONS OFFENSES,4,3,-1,-25.0,Decreasing,129,105,-24,-18.6,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,OBSTRUCTING THE POLICE,3,2,-1,-33.33,Decreasing,72,61,-11,-15.28,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,ARSON,1,1,0,0.0,No Change,25,18,-7,-28.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,INVASION OF PRIVACY -OTHER,0,1,1,,Increasing,17,22,5,29.41,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,ROBBERY,2,1,-1,-50.0,Decreasing,46,45,-1,-2.17,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,RUNAWAY,1,1,0,0.0,No Change,41,37,-4,-9.76,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,SEX OFFENSES,1,1,0,0.0,No Change,36,23,-13,-36.11,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,STOLEN PROPERTY,1,1,0,0.0,No Change,55,45,-10,-18.18,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,EXTORTION,1,0,-1,-100.0,Decreasing,6,3,-3,-50.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,FORGERY,1,0,-1,-100.0,Decreasing,3,2,-1,-33.33,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
04,SEXUAL ASSAULT,1,0,-1,-100.0,Decreasing,18,16,-2,-11.11,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
05,ASSAULT,41,44,3,7.32,Increasing,720,612,-108,-15.0,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
05,DAMAGE TO PROPERTY,28,20,-8,-28.57,Decreasing,404,364,-40,-9.9,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
05,AGGRAVATED ASSAULT,20,17,-3,-15.0,Decreasing,294,267,-27,-9.18,2026-08-27,2026-09-09,2026-09-10,2026-09-23,ALL
