precinct_norm,offense_category,previous_28d,current_28d,change_28d,pct_change_28d,recent_movement,city_previous_28d,city_current_28d,city_change_28d,city_pct_change_28d,previous_28d_start,previous_28d_end,current_28d_start,current_28d_end
00,ASSAULT,1,0,-1,-100.0,Decreasing,1499,1343,-156,-10.41,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,ASSAULT,143,149,6,4.2,Increasing,1499,1343,-156,-10.41,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,DAMAGE TO PROPERTY,82,94,12,14.63,Increasing,892,894,2,0.22,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,AGGRAVATED ASSAULT,73,73,0,0.0,No Change,712,651,-61,-8.57,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,LARCENY,86,63,-23,-26.74,Decreasing,1099,857,-242,-22.02,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,BURGLARY,48,46,-2,-4.17,Decreasing,378,364,-14,-3.7,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,FRAUD,52,43,-9,-17.31,Decreasing,533,460,-73,-13.7,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,STOLEN VEHICLE,41,37,-4,-9.76,Decreasing,519,475,-44,-8.48,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,WEAPONS OFFENSES,36,29,-7,-19.44,Decreasing,291,222,-69,-23.71,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,RUNAWAY,10,14,4,40.0,Increasing,101,113,12,11.88,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,ROBBERY,8,13,5,62.5,Increasing,94,99,5,5.32,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,FAMILY OFFENSE,8,12,4,50.0,Increasing,79,70,-9,-11.39,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,STOLEN PROPERTY,26,11,-15,-57.69,Decreasing,156,133,-23,-14.74,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,OBSTRUCTING JUDICIARY,14,8,-6,-42.86,Decreasing,98,87,-11,-11.22,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,OBSTRUCTING THE POLICE,25,6,-19,-76.0,Decreasing,186,145,-41,-22.04,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,INVASION OF PRIVACY -OTHER,0,4,4,,Increasing,45,52,7,15.56,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,OUIL,2,4,2,100.0,Increasing,62,70,8,12.9,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,SEX OFFENSES,1,4,3,300.0,Increasing,79,55,-24,-30.38,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,ARSON,5,2,-3,-60.0,Decreasing,35,33,-2,-5.71,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,DANGEROUS DRUGS,7,2,-5,-71.43,Decreasing,70,86,16,22.86,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,HOMICIDE,5,2,-3,-60.0,Decreasing,18,13,-5,-27.78,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,SEXUAL ASSAULT,4,2,-2,-50.0,Decreasing,52,48,-4,-7.69,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,FORGERY,0,1,1,,Increasing,4,8,4,100.0,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,MISCELLANEOUS,0,1,1,,Increasing,9,6,-3,-33.33,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,DISORDERLY CONDUCT,1,0,-1,-100.0,Decreasing,20,27,7,35.0,2026-06-27,2026-07-24,2026-07-25,2026-08-21
02,KIDNAPPING,1,0,-1,-100.0,Decreasing,26,20,-6,-23.08,2026-06-27,2026-07-24,2026-07-25,2026-08-21
03,ASSAULT,161,160,-1,-0.62,Decreasing,1499,1343,-156,-10.41,2026-06-27,2026-07-24,2026-07-25,2026-08-21
03,LARCENY,234,159,-75,-32.05,Decreasing,1099,857,-242,-22.02,2026-06-27,2026-07-24,2026-07-25,2026-08-21
03,DAMAGE TO PROPERTY,109,110,1,0.92,Increasing,892,894,2,0.22,2026-06-27,2026-07-24,2026-07-25,2026-08-21
