precinct_norm,offense_category,incidents_previous,incidents_current,incidents_baseline,change_vs_previous,pct_change_vs_previous,change_vs_baseline,pct_change_vs_baseline,trend_class,comparison_date
00,AGGRAVATED ASSAULT,0,4,0,4,,4,,Worsening,2026-09-04
00,ASSAULT,1,4,7,3,300.0,-3,-42.857142857142854,Worsening,2026-09-04
00,DAMAGE TO PROPERTY,1,3,1,2,200.0,2,200.0,Worsening,2026-09-04
00,DANGEROUS DRUGS,0,0,1,0,,-1,-100.0,Stable,2026-09-04
00,FRAUD,2,0,0,-2,-100.0,0,,Improving,2026-09-04
00,LARCENY,1,2,1,1,100.0,1,100.0,Worsening,2026-09-04
00,OBSTRUCTING JUDICIARY,1,0,0,-1,-100.0,0,,Improving,2026-09-04
00,OBSTRUCTING THE POLICE,1,0,1,-1,-100.0,-1,-100.0,Improving,2026-09-04
00,RUNAWAY,0,1,0,1,,1,,Worsening,2026-09-04
00,SEXUAL ASSAULT,0,0,1,0,,-1,-100.0,Stable,2026-09-04
00,STOLEN PROPERTY,0,0,1,0,,-1,-100.0,Stable,2026-09-04
00,STOLEN VEHICLE,2,1,3,-1,-50.0,-2,-66.66666666666667,Consistently Improving,2026-09-04
02,AGGRAVATED ASSAULT,568,541,559,-27,-4.753521126760563,-18,-3.2200357781753133,Improving,2026-09-04
02,ARSON,27,26,36,-1,-3.7037037037037037,-10,-27.77777777777778,Consistently Improving,2026-09-04
02,ASSAULT,1181,1206,1156,25,2.116850127011008,50,4.325259515570934,Consistently Worsening,2026-09-04
02,BURGLARY,386,391,378,5,1.2953367875647668,13,3.439153439153439,Stable,2026-09-04
02,DAMAGE TO PROPERTY,717,666,759,-51,-7.112970711297071,-93,-12.25296442687747,Consistently Improving,2026-09-04
02,DANGEROUS DRUGS,84,39,56,-45,-53.57142857142857,-17,-30.357142857142858,Improving,2026-09-04
02,DISORDERLY CONDUCT,33,12,8,-21,-63.63636363636363,4,50.0,Improving,2026-09-04
02,EXTORTION,7,6,3,-1,-14.285714285714286,3,100.0,Improving,2026-09-04
02,FAMILY OFFENSE,79,74,60,-5,-6.329113924050633,14,23.333333333333332,Improving,2026-09-04
02,FORGERY,14,8,3,-6,-42.857142857142854,5,166.66666666666666,Improving,2026-09-04
02,FRAUD,559,464,517,-95,-16.99463327370304,-53,-10.251450676982591,Improving,2026-09-04
02,HEALTH AND SAFETY,2,10,0,8,400.0,10,,Consistently Worsening,2026-09-04
02,HOMICIDE,10,22,19,12,120.0,3,15.789473684210526,Worsening,2026-09-04
02,INVASION OF PRIVACY -OTHER,5,25,4,20,400.0,21,525.0,Consistently Worsening,2026-09-04
02,JUSTIFIABLE HOMICIDE,0,0,1,0,,-1,-100.0,Stable,2026-09-04
02,KIDNAPPING,7,10,10,3,42.857142857142854,0,0.0,Worsening,2026-09-04
02,LARCENY,631,600,671,-31,-4.91283676703645,-71,-10.581222056631892,Consistently Improving,2026-09-04
02,LIQUOR,1,3,1,2,200.0,2,200.0,Worsening,2026-09-04
02,MISCELLANEOUS,6,6,3,0,0.0,3,100.0,Stable,2026-09-04
02,OBSTRUCTING JUDICIARY,43,74,68,31,72.09302325581395,6,8.823529411764707,Worsening,2026-09-04
02,OBSTRUCTING THE POLICE,134,131,113,-3,-2.2388059701492535,18,15.929203539823009,Improving,2026-09-04
02,OTHER,38,0,27,-38,-100.0,-27,-100.0,Improving,2026-09-04
02,OUIL,20,30,24,10,50.0,6,25.0,Worsening,2026-09-04
02,ROBBERY,68,70,59,2,2.9411764705882355,11,18.64406779661017,Consistently Worsening,2026-09-04
02,RUNAWAY,59,67,53,8,13.559322033898304,14,26.41509433962264,Consistently Worsening,2026-09-04
02,SEX OFFENSES,64,45,40,-19,-29.6875,5,12.5,Improving,2026-09-04
02,SEXUAL ASSAULT,40,37,44,-3,-7.5,-7,-15.909090909090908,Consistently Improving,2026-09-04
02,SOLICITATION,0,4,0,4,,4,,Worsening,2026-09-04
02,STOLEN PROPERTY,184,137,170,-47,-25.543478260869566,-33,-19.41176470588235,Improving,2026-09-04
02,STOLEN VEHICLE,372,324,412,-48,-12.903225806451612,-88,-21.359223300970875,Consistently Improving,2026-09-04
02,WEAPONS OFFENSES,261,271,297,10,3.8314176245210727,-26,-8.754208754208754,Worsening,2026-09-04
03,AGGRAVATED ASSAULT,370,431,361,61,16.486486486486488,70,19.390581717451525,Consistently Worsening,2026-09-04
03,ARSON,12,17,16,5,41.666666666666664,1,6.25,Worsening,2026-09-04
03,ASSAULT,1292,1416,1172,124,9.597523219814242,244,20.81911262798635,Consistently Worsening,2026-09-04
03,BURGLARY,237,259,264,22,9.282700421940929,-5,-1.893939393939394,Worsening,2026-09-04
03,DAMAGE TO PROPERTY,997,922,969,-75,-7.522567703109328,-47,-4.8503611971104235,Improving,2026-09-04
03,DANGEROUS DRUGS,56,68,55,12,21.428571428571427,13,23.636363636363637,Consistently Worsening,2026-09-04
03,DISORDERLY CONDUCT,70,83,65,13,18.571428571428573,18,27.692307692307693,Consistently Worsening,2026-09-04
03,EXTORTION,5,19,7,14,280.0,12,171.42857142857142,Worsening,2026-09-04
03,FAMILY OFFENSE,41,53,41,12,29.26829268292683,12,29.26829268292683,Worsening,2026-09-04
03,FORGERY,14,13,24,-1,-7.142857142857143,-11,-45.833333333333336,Consistently Improving,2026-09-04
03,FRAUD,668,683,733,15,2.245508982035928,-50,-6.8212824010914055,Worsening,2026-09-04
03,GAMBLING,0,2,0,2,,2,,Worsening,2026-09-04
03,HEALTH AND SAFETY,4,11,5,7,175.0,6,120.0,Worsening,2026-09-04
03,HOMICIDE,5,5,9,0,0.0,-4,-44.44444444444444,Stable,2026-09-04
03,INVASION OF PRIVACY -OTHER,15,171,28,156,1040.0,143,510.7142857142857,Worsening,2026-09-04
03,KIDNAPPING,8,10,10,2,25.0,0,0.0,Worsening,2026-09-04
03,LARCENY,1702,1656,1551,-46,-2.7027027027027026,105,6.769825918762089,Improving,2026-09-04
03,LIQUOR,8,4,4,-4,-50.0,0,0.0,Improving,2026-09-04
03,MISCELLANEOUS,6,9,11,3,50.0,-2,-18.181818181818183,Worsening,2026-09-04
03,OBSTRUCTING JUDICIARY,45,68,54,23,51.111111111111114,14,25.925925925925927,Worsening,2026-09-04
03,OBSTRUCTING THE POLICE,152,202,107,50,32.89473684210526,95,88.78504672897196,Consistently Worsening,2026-09-04
03,OTHER,109,0,67,-109,-100.0,-67,-100.0,Improving,2026-09-04
03,OUIL,96,96,40,0,0.0,56,140.0,Stable,2026-09-04
03,ROBBERY,111,96,105,-15,-13.513513513513514,-9,-8.571428571428571,Improving,2026-09-04
03,RUNAWAY,22,36,28,14,63.63636363636363,8,28.571428571428573,Worsening,2026-09-04
03,SEX OFFENSES,75,68,51,-7,-9.333333333333334,17,33.333333333333336,Improving,2026-09-04
03,SEXUAL ASSAULT,35,57,43,22,62.857142857142854,14,32.55813953488372,Worsening,2026-09-04
03,SOLICITATION,0,0,1,0,,-1,-100.0,Stable,2026-09-04
03,STOLEN PROPERTY,67,56,75,-11,-16.417910447761194,-19,-25.333333333333332,Consistently Improving,2026-09-04
03,STOLEN VEHICLE,523,401,556,-122,-23.326959847036328,-155,-27.87769784172662,Consistently Improving,2026-09-04
03,WEAPONS OFFENSES,123,144,116,21,17.073170731707318,28,24.137931034482758,Consistently Worsening,2026-09-04
04,AGGRAVATED ASSAULT,255,255,258,0,0.0,-3,-1.1627906976744187,Stable,2026-09-04
04,ARSON,18,11,20,-7,-38.888888888888886,-9,-45.0,Consistently Improving,2026-09-04
04,ASSAULT,648,584,610,-64,-9.876543209876543,-26,-4.262295081967213,Improving,2026-09-04
04,BURGLARY,138,113,144,-25,-18.115942028985508,-31,-21.52777777777778,Consistently Improving,2026-09-04
04,DAMAGE TO PROPERTY,310,310,351,0,0.0,-41,-11.68091168091168,Stable,2026-09-04
04,DANGEROUS DRUGS,81,107,33,26,32.098765432098766,74,224.24242424242425,Consistently Worsening,2026-09-04
04,DISORDERLY CONDUCT,12,4,7,-8,-66.66666666666667,-3,-42.857142857142854,Improving,2026-09-04
04,EXTORTION,10,9,9,-1,-10.0,0,0.0,Improving,2026-09-04
04,FAMILY OFFENSE,35,21,27,-14,-40.0,-6,-22.22222222222222,Improving,2026-09-04
04,FORGERY,9,6,7,-3,-33.333333333333336,-1,-14.285714285714286,Improving,2026-09-04
04,FRAUD,328,249,446,-79,-24.085365853658537,-197,-44.17040358744394,Consistently Improving,2026-09-04
04,HEALTH AND SAFETY,2,1,3,-1,-50.0,-2,-66.66666666666667,Consistently Improving,2026-09-04
04,HOMICIDE,6,5,11,-1,-16.666666666666668,-6,-54.54545454545455,Consistently Improving,2026-09-04
04,INVASION OF PRIVACY -OTHER,1,9,1,8,800.0,8,800.0,Worsening,2026-09-04
04,KIDNAPPING,13,6,11,-7,-53.84615384615385,-5,-45.45454545454545,Improving,2026-09-04
04,LARCENY,429,381,485,-48,-11.188811188811188,-104,-21.443298969072163,Consistently Improving,2026-09-04
04,LIQUOR,3,3,2,0,0.0,1,50.0,Stable,2026-09-04
04,MISCELLANEOUS,6,3,1,-3,-50.0,2,200.0,Improving,2026-09-04
04,OBSTRUCTING JUDICIARY,41,61,45,20,48.78048780487805,16,35.55555555555556,Worsening,2026-09-04
04,OBSTRUCTING THE POLICE,79,73,36,-6,-7.594936708860759,37,102.77777777777777,Improving,2026-09-04
04,OTHER,19,0,7,-19,-100.0,-7,-100.0,Improving,2026-09-04
04,OUIL,12,18,20,6,50.0,-2,-10.0,Worsening,2026-09-04
04,ROBBERY,46,51,51,5,10.869565217391305,0,0.0,Worsening,2026-09-04
04,RUNAWAY,29,26,34,-3,-10.344827586206897,-8,-23.529411764705884,Consistently Improving,2026-09-04
