precinct_norm,offense_category,incidents_previous,incidents_current,incidents_baseline,change_vs_previous,pct_change_vs_previous,change_vs_baseline,pct_change_vs_baseline,trend_class,comparison_date
02,AGGRAVATED ASSAULT,1,3,,2,200.0,,,Worsening,2026-01-01
02,ASSAULT,8,11,,3,37.5,,,Worsening,2026-01-01
02,BURGLARY,4,1,,-3,-75.0,,,Improving,2026-01-01
02,DAMAGE TO PROPERTY,9,4,,-5,-55.55555555555556,,,Improving,2026-01-01
02,DANGEROUS DRUGS,1,0,,-1,-100.0,,,Improving,2026-01-01
02,FRAUD,3,2,,-1,-33.333333333333336,,,Improving,2026-01-01
02,KIDNAPPING,1,0,,-1,-100.0,,,Improving,2026-01-01
02,LARCENY,0,3,,3,,,,Worsening,2026-01-01
02,ROBBERY,1,0,,-1,-100.0,,,Improving,2026-01-01
02,SEX OFFENSES,0,1,,1,,,,Worsening,2026-01-01
02,SEXUAL ASSAULT,0,1,,1,,,,Worsening,2026-01-01
02,STOLEN PROPERTY,0,1,,1,,,,Worsening,2026-01-01
02,STOLEN VEHICLE,4,0,,-4,-100.0,,,Improving,2026-01-01
02,WEAPONS OFFENSES,3,2,,-1,-33.333333333333336,,,Improving,2026-01-01
03,AGGRAVATED ASSAULT,3,3,,0,0.0,,,Stable,2026-01-01
03,ASSAULT,8,10,,2,25.0,,,Worsening,2026-01-01
03,BURGLARY,1,0,,-1,-100.0,,,Improving,2026-01-01
03,DAMAGE TO PROPERTY,5,4,,-1,-20.0,,,Improving,2026-01-01
03,FAMILY OFFENSE,1,0,,-1,-100.0,,,Improving,2026-01-01
03,FORGERY,1,0,,-1,-100.0,,,Improving,2026-01-01
03,FRAUD,4,3,,-1,-25.0,,,Improving,2026-01-01
03,LARCENY,11,10,,-1,-9.090909090909092,,,Improving,2026-01-01
03,OBSTRUCTING JUDICIARY,1,0,,-1,-100.0,,,Improving,2026-01-01
03,STOLEN PROPERTY,1,0,,-1,-100.0,,,Improving,2026-01-01
03,STOLEN VEHICLE,2,3,,1,50.0,,,Worsening,2026-01-01
04,AGGRAVATED ASSAULT,3,2,,-1,-33.333333333333336,,,Improving,2026-01-01
04,ASSAULT,5,6,,1,20.0,,,Worsening,2026-01-01
04,BURGLARY,2,2,,0,0.0,,,Stable,2026-01-01
04,DAMAGE TO PROPERTY,2,6,,4,200.0,,,Worsening,2026-01-01
04,DANGEROUS DRUGS,0,2,,2,,,,Worsening,2026-01-01
04,DISORDERLY CONDUCT,0,1,,1,,,,Worsening,2026-01-01
04,FRAUD,2,0,,-2,-100.0,,,Improving,2026-01-01
04,LARCENY,1,0,,-1,-100.0,,,Improving,2026-01-01
04,OBSTRUCTING THE POLICE,1,2,,1,100.0,,,Worsening,2026-01-01
04,ROBBERY,1,0,,-1,-100.0,,,Improving,2026-01-01
04,STOLEN PROPERTY,0,1,,1,,,,Worsening,2026-01-01
04,STOLEN VEHICLE,1,0,,-1,-100.0,,,Improving,2026-01-01
04,WEAPONS OFFENSES,1,1,,0,0.0,,,Stable,2026-01-01
05,AGGRAVATED ASSAULT,4,7,,3,75.0,,,Worsening,2026-01-01
05,ARSON,0,1,,1,,,,Worsening,2026-01-01
05,ASSAULT,6,3,,-3,-50.0,,,Improving,2026-01-01
05,BURGLARY,1,0,,-1,-100.0,,,Improving,2026-01-01
05,DAMAGE TO PROPERTY,5,5,,0,0.0,,,Stable,2026-01-01
05,FRAUD,5,0,,-5,-100.0,,,Improving,2026-01-01
05,LARCENY,2,2,,0,0.0,,,Stable,2026-01-01
05,OBSTRUCTING THE POLICE,0,2,,2,,,,Worsening,2026-01-01
05,STOLEN PROPERTY,0,1,,1,,,,Worsening,2026-01-01
05,STOLEN VEHICLE,0,1,,1,,,,Worsening,2026-01-01
05,WEAPONS OFFENSES,3,3,,0,0.0,,,Stable,2026-01-01
06,AGGRAVATED ASSAULT,5,3,,-2,-40.0,,,Improving,2026-01-01
06,ASSAULT,10,9,,-1,-10.0,,,Improving,2026-01-01
06,BURGLARY,2,1,,-1,-50.0,,,Improving,2026-01-01
06,DAMAGE TO PROPERTY,10,2,,-8,-80.0,,,Improving,2026-01-01
06,EXTORTION,0,1,,1,,,,Worsening,2026-01-01
06,FAMILY OFFENSE,1,0,,-1,-100.0,,,Improving,2026-01-01
06,FRAUD,1,3,,2,200.0,,,Worsening,2026-01-01
06,HEALTH AND SAFETY,0,1,,1,,,,Worsening,2026-01-01
06,KIDNAPPING,0,1,,1,,,,Worsening,2026-01-01
06,LARCENY,5,2,,-3,-60.0,,,Improving,2026-01-01
06,OBSTRUCTING JUDICIARY,0,1,,1,,,,Worsening,2026-01-01
06,ROBBERY,0,1,,1,,,,Worsening,2026-01-01
06,RUNAWAY,1,0,,-1,-100.0,,,Improving,2026-01-01
06,STOLEN VEHICLE,0,2,,2,,,,Worsening,2026-01-01
06,WEAPONS OFFENSES,5,7,,2,40.0,,,Worsening,2026-01-01
07,AGGRAVATED ASSAULT,1,4,,3,300.0,,,Worsening,2026-01-01
07,ARSON,0,1,,1,,,,Worsening,2026-01-01
07,ASSAULT,7,5,,-2,-28.571428571428573,,,Improving,2026-01-01
07,BURGLARY,0,1,,1,,,,Worsening,2026-01-01
07,DAMAGE TO PROPERTY,5,5,,0,0.0,,,Stable,2026-01-01
07,DANGEROUS DRUGS,0,1,,1,,,,Worsening,2026-01-01
07,FRAUD,5,4,,-1,-20.0,,,Improving,2026-01-01
07,LARCENY,3,2,,-1,-33.333333333333336,,,Improving,2026-01-01
07,OBSTRUCTING JUDICIARY,0,2,,2,,,,Worsening,2026-01-01
07,SEXUAL ASSAULT,0,1,,1,,,,Worsening,2026-01-01
07,STOLEN VEHICLE,0,2,,2,,,,Worsening,2026-01-01
08,AGGRAVATED ASSAULT,2,5,,3,150.0,,,Worsening,2026-01-01
08,ASSAULT,4,6,,2,50.0,,,Worsening,2026-01-01
08,BURGLARY,1,1,,0,0.0,,,Stable,2026-01-01
08,DAMAGE TO PROPERTY,9,7,,-2,-22.22222222222222,,,Improving,2026-01-01
08,FRAUD,6,8,,2,33.333333333333336,,,Worsening,2026-01-01
08,LARCENY,2,6,,4,200.0,,,Worsening,2026-01-01
08,OBSTRUCTING JUDICIARY,1,2,,1,100.0,,,Worsening,2026-01-01
08,OBSTRUCTING THE POLICE,0,2,,2,,,,Worsening,2026-01-01
08,OTHER,0,1,,1,,,,Worsening,2026-01-01
08,ROBBERY,0,1,,1,,,,Worsening,2026-01-01
08,RUNAWAY,0,1,,1,,,,Worsening,2026-01-01
08,SEX OFFENSES,1,1,,0,0.0,,,Stable,2026-01-01
08,SEXUAL ASSAULT,1,0,,-1,-100.0,,,Improving,2026-01-01
08,STOLEN PROPERTY,0,1,,1,,,,Worsening,2026-01-01
08,STOLEN VEHICLE,4,0,,-4,-100.0,,,Improving,2026-01-01
08,WEAPONS OFFENSES,2,8,,6,300.0,,,Worsening,2026-01-01
09,AGGRAVATED ASSAULT,6,2,,-4,-66.66666666666667,,,Improving,2026-01-01
09,ASSAULT,6,8,,2,33.333333333333336,,,Worsening,2026-01-01
09,BURGLARY,2,2,,0,0.0,,,Stable,2026-01-01
09,DAMAGE TO PROPERTY,6,4,,-2,-33.333333333333336,,,Improving,2026-01-01
09,FAMILY OFFENSE,0,2,,2,,,,Worsening,2026-01-01
09,FRAUD,0,3,,3,,,,Worsening,2026-01-01
09,LARCENY,2,2,,0,0.0,,,Stable,2026-01-01
09,ROBBERY,1,0,,-1,-100.0,,,Improving,2026-01-01
09,SEX OFFENSES,1,0,,-1,-100.0,,,Improving,2026-01-01
09,SEXUAL ASSAULT,1,1,,0,0.0,,,Stable,2026-01-01
09,STOLEN PROPERTY,2,1,,-1,-50.0,,,Improving,2026-01-01
09,STOLEN VEHICLE,1,3,,2,200.0,,,Worsening,2026-01-01
