precinct_norm,incidents_previous,incidents_current,incidents_baseline,change_vs_previous,pct_change_vs_previous,improvement_status,improvement_score,change_vs_baseline,pct_change_vs_baseline,comparison_date,neighborhood_scope
0W,0,0,1,0,,Improved vs recent baseline,30.0,-1,-100.0,2026-09-18,ALL
05,4462,3974,4631,-488,-10.936799641416405,Improved vs both years,11.91,-657,-14.187000647808249,2026-09-18,ALL
04,3153,2841,3375,-312,-9.895337773549,Improved vs both years,11.67,-534,-15.822222222222223,2026-09-18,ALL
07,3983,3678,4371,-305,-7.657544564398695,Improved vs both years,10.12,-693,-15.85449553877831,2026-09-18,ALL
12,6254,5820,6584,-434,-6.939558682443236,Improved vs both years,8.34,-764,-11.603888213851763,2026-09-18,ALL
09,7579,6960,7453,-619,-8.167304393719489,Improved vs both years,7.7,-493,-6.614785992217898,2026-09-18,ALL
02,5906,5606,5877,-300,-5.079580088046055,Improved vs both years,4.94,-271,-4.611196188531563,2026-09-18,ALL
11,4696,4667,5126,-29,-0.6175468483816013,Improved vs both years,3.12,-459,-8.954350370659384,2026-09-18,ALL
06,5787,5753,5821,-34,-0.587523760152065,Improved vs both years,0.76,-68,-1.168184160797114,2026-09-18,ALL
08,6912,6985,7265,73,1.0561342592592593,Improved vs recent baseline,0.42,-280,-3.8540949759119063,2026-09-18,ALL
HP,1,1,0,0,0.0,Worse vs recent baseline,-0.0,1,,2026-09-18,ALL
10,5341,5517,5191,176,3.2952630593521812,Worse vs recent baseline,-4.19,326,6.280100173376999,2026-09-18,ALL
03,7261,7498,7024,237,3.2640132213193773,Worse vs recent baseline,-4.31,474,6.748291571753986,2026-09-18,ALL
00,9,16,21,7,77.77777777777777,Improved vs recent baseline,-47.3,-5,-23.80952380952381,2026-09-18,ALL
05,61,55,127,-6,-9.836065573770492,Improved vs both years,23.89,-72,-56.69291338582677,2026-09-17,Airport Sub
07,306,236,269,-70,-22.875816993464053,Improved vs both years,19.69,-33,-12.267657992565056,2026-09-17,Airport Sub
09,48,45,69,-3,-6.25,Improved vs both years,14.81,-24,-34.78260869565217,2026-09-17,Airport Sub
11,159,183,227,24,15.09433962264151,Improved vs recent baseline,-4.75,-44,-19.383259911894275,2026-09-17,Airport Sub
03,19,4,14,-15,-78.94736842105263,Improved vs both years,76.69,-10,-71.42857142857143,2026-09-02,Arden Park
02,129,175,185,46,35.65891472868217,Improved vs recent baseline,-23.34,-10,-5.405405405405405,2026-09-15,Aviation Sub
11,0,0,1,0,,Improved vs recent baseline,30.0,-1,-100.0,2026-09-17,Bagley
12,818,673,831,-145,-17.726161369193154,Improved vs both years,18.11,-158,-19.01323706377858,2026-09-17,Bagley
02,911,887,990,-24,-2.6344676180021955,Improved vs both years,4.97,-103,-10.404040404040405,2026-09-18,Barton-McFarland
07,3,2,6,-1,-33.333333333333336,Improved vs both years,43.33,-4,-66.66666666666667,2026-07-29,Belle Isle
08,2,1,0,-1,-50.0,Improved vs recent baseline,35.0,1,,2026-09-17,Belmont
12,0,0,1,0,,Improved vs recent baseline,30.0,-1,-100.0,2026-09-17,Belmont
02,227,200,213,-27,-11.894273127753303,Improved vs both years,10.16,-13,-6.103286384976526,2026-09-17,Belmont
08,213,236,190,23,10.7981220657277,Worse vs recent baseline,-14.82,46,24.210526315789473,2026-09-14,Berg-Lahser
08,0,0,1,0,,Improved vs recent baseline,30.0,-1,-100.0,2026-09-17,Bethune Community
02,838,729,767,-109,-13.007159904534607,Improved vs both years,10.59,-38,-4.954367666232073,2026-09-17,Bethune Community
10,3,3,3,0,0.0,No change,-0.0,0,0.0,2026-09-17,Bethune Community
12,419,401,329,-18,-4.2959427207637235,Improved vs recent baseline,-3.56,72,21.88449848024316,2026-09-17,Bethune Community
12,106,75,131,-31,-29.245283018867923,Improved vs both years,33.3,-56,-42.74809160305343,2026-09-15,Blackstone Park
10,108,91,130,-17,-15.74074074074074,Improved vs both years,20.02,-39,-30.0,2026-09-14,Boston Edison
03,0,1,0,1,,Worse vs recent baseline,-0.0,1,,2026-09-14,Boston Edison
06,3,0,0,-3,-100.0,Improved vs recent baseline,70.0,0,,2026-09-18,Boynton
04,409,366,403,-43,-10.513447432762836,Improved vs both years,10.11,-37,-9.181141439205955,2026-09-18,Boynton
03,50,43,62,-7,-14.0,Improved vs both years,18.99,-19,-30.64516129032258,2026-08-28,Brewster Homes
00,0,0,3,0,,Improved vs recent baseline,30.0,-3,-100.0,2026-09-17,Brightmoor
10,0,0,1,0,,Improved vs recent baseline,30.0,-1,-100.0,2026-09-17,Brightmoor
06,578,610,655,32,5.536332179930795,Improved vs recent baseline,-1.81,-45,-6.870229007633588,2026-09-17,Brightmoor
08,349,394,421,45,12.893982808022923,Improved vs recent baseline,-7.1,-27,-6.4133016627078385,2026-09-17,Brightmoor
03,149,166,207,17,11.409395973154362,Improved vs recent baseline,-2.04,-41,-19.806763285024154,2026-09-17,Brush Park
11,254,238,271,-16,-6.299212598425197,Improved vs both years,8.06,-33,-12.177121771217712,2026-09-15,Buffalo Charles
00,0,1,0,1,,Worse vs recent baseline,-0.0,1,,2026-09-15,Buffalo Charles
11,204,187,188,-17,-8.333333333333334,Improved vs both years,5.99,-1,-0.5319148936170213,2026-09-17,Butler
02,87,106,98,19,21.839080459770116,Worse vs recent baseline,-17.74,8,8.16326530612245,2026-09-16,Cadillac Community
11,228,243,246,15,6.578947368421052,Improved vs recent baseline,-4.24,-3,-1.2195121951219512,2026-09-17,Cadillac Heights
11,81,114,123,33,40.74074074074074,Improved vs recent baseline,-26.32,-9,-7.317073170731708,2026-09-15,Campau/Banglatown
04,29,28,22,-1,-3.4482758620689653,Improved vs recent baseline,-5.77,6,27.272727272727273,2026-09-10,Carbon Works
06,121,133,137,12,9.917355371900827,Improved vs recent baseline,-6.07,-4,-2.9197080291970803,2026-09-17,Castle Rouge
03,3,1,2,-2,-66.66666666666667,Improved vs both years,61.67,-1,-50.0,2026-09-17,Central Southwest
04,699,633,718,-66,-9.44206008583691,Improved vs both years,10.16,-85,-11.838440111420613,2026-09-17,Central Southwest
00,0,1,0,1,,Worse vs recent baseline,-0.0,1,,2026-09-17,Central Southwest
04,191,189,226,-2,-1.0471204188481675,Improved vs both years,5.64,-37,-16.371681415929203,2026-09-16,Chadsey Condon
10,32,31,28,-1,-3.125,Improved vs recent baseline,-1.03,3,10.714285714285714,2026-09-16,Chadsey Condon
03,99,161,119,62,62.62626262626262,Worse vs recent baseline,-54.43,42,35.294117647058826,2026-09-16,Chadsey Condon
10,242,304,252,62,25.619834710743802,Worse vs recent baseline,-24.12,52,20.634920634920636,2026-09-17,Chalfonte
09,0,0,1,0,,Improved vs recent baseline,30.0,-1,-100.0,2026-09-15,Chandler Park
05,265,217,220,-48,-18.11320754716981,Improved vs both years,13.09,-3,-1.3636363636363635,2026-09-15,Chandler Park
