precinct_norm,incidents_previous,incidents_current,change_vs_previous,pct_change_vs_previous,improvement_status,improvement_score,comparison_date
12,44,31,-13,-29.545454545454547,Improved,29.55,2026-01-01
11,33,24,-9,-27.272727272727273,Improved,27.27,2026-01-01
10,30,22,-8,-26.666666666666668,Improved,26.67,2026-01-01
09,37,30,-7,-18.91891891891892,Improved,18.92,2026-01-01
02,35,29,-6,-17.142857142857142,Improved,17.14,2026-01-01
06,40,34,-6,-15.0,Improved,15.0,2026-01-01
03,38,33,-5,-13.157894736842104,Improved,13.16,2026-01-01
05,26,25,-1,-3.8461538461538463,Improved,3.85,2026-01-01
04,19,23,4,21.05263157894737,Worse,-21.05,2026-01-01
07,21,28,7,33.333333333333336,Worse,-33.33,2026-01-01
08,33,50,17,51.515151515151516,Worse,-51.52,2026-01-01
