precinct_norm,incidents_previous,incidents_current,change,pct_change
03,6823,6990,167,2.4476036933900045
08,6504,6506,2,0.03075030750307503
09,7092,6486,-606,-8.544839255499154
12,5849,5479,-370,-6.325867669687126
06,5432,5372,-60,-1.1045655375552283
02,5563,5241,-322,-5.788243753370484
10,5008,5185,177,3.5343450479233227
11,4447,4360,-87,-1.9563750843265122
05,4180,3733,-447,-10.69377990430622
07,3748,3409,-339,-9.044823906083245
04,2972,2640,-332,-11.17092866756393
00,9,15,6,66.66666666666667
HP,1,1,0,0.0
