precinct_norm,offense_category,previous_14d,current_14d,change_14d,pct_change_14d,recent_movement,city_previous_14d,city_current_14d,city_change_14d,city_pct_change_14d,previous_14d_start,previous_14d_end,current_14d_start,current_14d_end,pct_change_vs_previous,trend_class,city_gap_14d,priority_score,priority_signal,neighborhood_scope
08,WEAPONS OFFENSES,9,29,20,222.22,Increasing,99,141,42,42.42,2026-08-19,2026-09-01,2026-09-02,2026-09-15,7.975460122699387,Worsening,179.8,85.4,High Priority,ALL
09,WEAPONS OFFENSES,12,24,12,100.0,Increasing,99,141,42,42.42,2026-08-19,2026-09-01,2026-09-02,2026-09-15,28.49462365591398,Worsening,57.58,76.5,High Priority,ALL
02,WEAPONS OFFENSES,13,25,12,92.31,Increasing,99,141,42,42.42,2026-08-19,2026-09-01,2026-09-02,2026-09-15,8.208955223880597,Worsening,49.89,71.0,High Priority,ALL
09,FRAUD,12,24,12,100.0,Increasing,252,208,-44,-17.46,2026-08-19,2026-09-01,2026-09-02,2026-09-15,-15.261958997722095,Consistently Improving,117.46000000000001,70.8,High Priority,ALL
09,ASSAULT,68,87,19,27.94,Increasing,697,633,-64,-9.18,2026-08-19,2026-09-01,2026-09-02,2026-09-15,-9.316353887399464,Improving,37.120000000000005,69.9,High Priority,ALL
10,WEAPONS OFFENSES,3,13,10,333.33,Increasing,99,141,42,42.42,2026-08-19,2026-09-01,2026-09-02,2026-09-15,1.7751479289940828,Stable,290.90999999999997,64.9,Emerging Concern,ALL
02,STOLEN VEHICLE,8,14,6,75.0,Increasing,245,191,-54,-22.04,2026-08-19,2026-09-01,2026-09-02,2026-09-15,-14.467005076142131,Consistently Improving,97.03999999999999,53.9,Emerging Concern,ALL
06,FRAUD,14,20,6,42.86,Increasing,252,208,-44,-17.46,2026-08-19,2026-09-01,2026-09-02,2026-09-15,5.163043478260869,Worsening,60.32,50.4,Emerging Concern,ALL
03,DAMAGE TO PROPERTY,41,50,9,21.95,Increasing,411,363,-48,-11.68,2026-08-19,2026-09-01,2026-09-02,2026-09-15,-6.098741529525653,Improving,33.629999999999995,49.7,Emerging Concern,ALL
05,STOLEN VEHICLE,14,19,5,35.71,Increasing,245,191,-54,-22.04,2026-08-19,2026-09-01,2026-09-02,2026-09-15,-25.227272727272727,Consistently Improving,57.75,46.2,Emerging Concern,ALL
