period,precinct_norm,selection_type,selection_name,weekday,time_block,incident_count,neighborhood_scope
YTD,ALL,All,All,Friday,00:00-05:59,1704,ALL
YTD,ALL,All,All,Friday,06:00-11:59,1507,ALL
YTD,ALL,All,All,Friday,12:00-17:59,2465,ALL
YTD,ALL,All,All,Friday,18:00-23:59,2750,ALL
YTD,ALL,All,All,Monday,00:00-05:59,1648,ALL
YTD,ALL,All,All,Monday,06:00-11:59,1427,ALL
YTD,ALL,All,All,Monday,12:00-17:59,2458,ALL
YTD,ALL,All,All,Monday,18:00-23:59,2693,ALL
YTD,ALL,All,All,Saturday,00:00-05:59,2193,ALL
YTD,ALL,All,All,Saturday,06:00-11:59,1451,ALL
YTD,ALL,All,All,Saturday,12:00-17:59,2219,ALL
YTD,ALL,All,All,Saturday,18:00-23:59,2702,ALL
YTD,ALL,All,All,Sunday,00:00-05:59,2275,ALL
YTD,ALL,All,All,Sunday,06:00-11:59,1381,ALL
YTD,ALL,All,All,Sunday,12:00-17:59,2317,ALL
YTD,ALL,All,All,Sunday,18:00-23:59,2766,ALL
YTD,ALL,All,All,Thursday,00:00-05:59,1560,ALL
YTD,ALL,All,All,Thursday,06:00-11:59,1544,ALL
YTD,ALL,All,All,Thursday,12:00-17:59,2497,ALL
YTD,ALL,All,All,Thursday,18:00-23:59,2616,ALL
YTD,ALL,All,All,Tuesday,00:00-05:59,1555,ALL
YTD,ALL,All,All,Tuesday,06:00-11:59,1416,ALL
YTD,ALL,All,All,Tuesday,12:00-17:59,2593,ALL
YTD,ALL,All,All,Tuesday,18:00-23:59,2574,ALL
YTD,ALL,All,All,Wednesday,00:00-05:59,1539,ALL
YTD,ALL,All,All,Wednesday,06:00-11:59,1455,ALL
YTD,ALL,All,All,Wednesday,12:00-17:59,2602,ALL
YTD,ALL,All,All,Wednesday,18:00-23:59,2486,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Friday,00:00-05:59,188,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Friday,06:00-11:59,113,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Friday,12:00-17:59,186,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Friday,18:00-23:59,249,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Monday,00:00-05:59,193,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Monday,06:00-11:59,117,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Monday,12:00-17:59,188,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Monday,18:00-23:59,274,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Saturday,00:00-05:59,260,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Saturday,06:00-11:59,137,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Saturday,12:00-17:59,229,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Saturday,18:00-23:59,271,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Sunday,00:00-05:59,313,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Sunday,06:00-11:59,141,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Sunday,12:00-17:59,249,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Sunday,18:00-23:59,316,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Thursday,00:00-05:59,188,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Thursday,06:00-11:59,124,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Thursday,12:00-17:59,192,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Thursday,18:00-23:59,254,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Tuesday,00:00-05:59,174,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Tuesday,06:00-11:59,106,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Tuesday,12:00-17:59,209,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Tuesday,18:00-23:59,280,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Wednesday,00:00-05:59,146,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Wednesday,06:00-11:59,99,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Wednesday,12:00-17:59,194,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Wednesday,18:00-23:59,221,ALL
YTD,ALL,Crime Type,ARSON,Friday,00:00-05:59,20,ALL
YTD,ALL,Crime Type,ARSON,Friday,06:00-11:59,8,ALL
YTD,ALL,Crime Type,ARSON,Friday,12:00-17:59,9,ALL
YTD,ALL,Crime Type,ARSON,Friday,18:00-23:59,14,ALL
YTD,ALL,Crime Type,ARSON,Monday,00:00-05:59,17,ALL
YTD,ALL,Crime Type,ARSON,Monday,06:00-11:59,7,ALL
YTD,ALL,Crime Type,ARSON,Monday,12:00-17:59,10,ALL
YTD,ALL,Crime Type,ARSON,Monday,18:00-23:59,7,ALL
YTD,ALL,Crime Type,ARSON,Saturday,00:00-05:59,26,ALL
YTD,ALL,Crime Type,ARSON,Saturday,06:00-11:59,11,ALL
YTD,ALL,Crime Type,ARSON,Saturday,12:00-17:59,5,ALL
YTD,ALL,Crime Type,ARSON,Saturday,18:00-23:59,7,ALL
YTD,ALL,Crime Type,ARSON,Sunday,00:00-05:59,17,ALL
YTD,ALL,Crime Type,ARSON,Sunday,06:00-11:59,8,ALL
YTD,ALL,Crime Type,ARSON,Sunday,12:00-17:59,9,ALL
YTD,ALL,Crime Type,ARSON,Sunday,18:00-23:59,8,ALL
YTD,ALL,Crime Type,ARSON,Thursday,00:00-05:59,20,ALL
YTD,ALL,Crime Type,ARSON,Thursday,06:00-11:59,7,ALL
YTD,ALL,Crime Type,ARSON,Thursday,12:00-17:59,8,ALL
YTD,ALL,Crime Type,ARSON,Thursday,18:00-23:59,10,ALL
YTD,ALL,Crime Type,ARSON,Tuesday,00:00-05:59,23,ALL
YTD,ALL,Crime Type,ARSON,Tuesday,06:00-11:59,10,ALL
YTD,ALL,Crime Type,ARSON,Tuesday,12:00-17:59,6,ALL
YTD,ALL,Crime Type,ARSON,Tuesday,18:00-23:59,15,ALL
YTD,ALL,Crime Type,ARSON,Wednesday,00:00-05:59,14,ALL
YTD,ALL,Crime Type,ARSON,Wednesday,06:00-11:59,6,ALL
YTD,ALL,Crime Type,ARSON,Wednesday,12:00-17:59,9,ALL
