period,precinct_norm,selection_type,selection_name,total_incidents,peak_day,peak_day_count,peak_hour,peak_hour_count,peak_shift,peak_shift_count,peak_time_block,peak_time_block_count,period_start,period_end,neighborhood_scope
YTD,ALL,All,All,58627,Sunday,8773,0,3440,Evening Shift (14:00-21:59),23810,18:00-23:59,18669,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,5637,Sunday,1021,0,369,Evening Shift (14:00-21:59),2299,18:00-23:59,1875,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,ARSON,324,Tuesday,55,1,29,Night Shift (22:00-05:59),170,00:00-05:59,137,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,ASSAULT,12464,Sunday,1999,0,724,Evening Shift (14:00-21:59),5025,18:00-23:59,3867,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,BURGLARY,3530,Friday,568,12,239,Evening Shift (14:00-21:59),1357,12:00-17:59,1156,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,7319,Sunday,1212,0,430,Evening Shift (14:00-21:59),2727,18:00-23:59,2275,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,726,Tuesday,155,12,62,Evening Shift (14:00-21:59),380,12:00-17:59,346,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,214,Monday,36,19,23,Evening Shift (14:00-21:59),104,18:00-23:59,91,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,EXTORTION,84,Monday,16,12,10,Day Shift (06:00-13:59),30,12:00-17:59,25,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,654,Saturday,107,16,53,Evening Shift (14:00-21:59),313,12:00-17:59,230,2026-01-01,2026-09-15,ALL
YTD,ALL,Crime Type,FORGERY,75,Wednesday,21,16,8,Evening Shift (14:00-21:59),33,12:00-17:59,31,2026-01-01,2026-09-15,ALL
